img,bank,card_name,card_type,required_income,required_applicant,cashback_rate,cashback_cap,cashback_benchmark,cashback_category,cashback_from,cashback_till,cashback_weekends_only,cashback_monthly_basis,cashback_single_receipt
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000d9/hong-leong-wise-gold.jpg,hong_leong_bank,hong_leong_wise_gold,,2000.0,Anybody,1.0,18,from RM500 and above monthly,groceries,500.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000d9/hong-leong-wise-gold.jpg,hong_leong_bank,hong_leong_wise_gold,,2000.0,Anybody,1.0,18,from RM500 and above monthly,dining,500.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000d9/hong-leong-wise-gold.jpg,hong_leong_bank,hong_leong_wise_gold,,2000.0,Anybody,0.25,10000000000,from RM500 and above monthly,others,500.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000da/hong-leong-wise-platinum.jpg,hong_leong_bank,hong_leong_wise_platinum,,5000.0,Anybody,1.0,18,from RM500 and above monthly,petrol,500.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000da/hong-leong-wise-platinum.jpg,hong_leong_bank,hong_leong_wise_platinum,,5000.0,Anybody,1.0,18,from RM500 and above monthly,groceries,500.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000da/hong-leong-wise-platinum.jpg,hong_leong_bank,hong_leong_wise_platinum,,5000.0,Anybody,1.0,18,from RM500 and above monthly,dining,500.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000da/hong-leong-wise-platinum.jpg,hong_leong_bank,hong_leong_wise_platinum,,5000.0,Anybody,0.25,10000000000,from RM500 and above monthly,others,500.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000d6/hong-leong-essential.jpg,hong_leong_bank,hong_leong_essential,,2000.0,Anybody,1.0,10000000000,"from RM7,001 and above monthly",all retail,7001.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000d6/hong-leong-essential.jpg,hong_leong_bank,hong_leong_essential,,2000.0,Anybody,0.4,10000000000,any amount monthly,insurance transactions,0.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000c2/the-store-pacific-hong-leong-platinum-mastercard.jpg,hong_leong_bank,the_store_pacific_hong_leong_platinum_mastercard,mastercard,5000.0,Anybody,6.0,30,"from RM1,501 and above monthly",the store and pacific,1501.0,,False,True,False
