,img,bank,card_name,card_type,required_income,required_applicant,reward_points,reward_category,each_spending
140,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000b7/gsc-hong-leong-gold-visa.jpg,hong_leong_bank,gsc_hong_leong_gold_visa,visa,2000.0,Anybody,1.0,other retail spends,1
141,https://ringgitplus.com/img/card-400/52de431e78d623a405002db3/hong-leong-visa-infinite.jpg,hong_leong_bank,hong_leong_visa_infinite,visa,12500.0,Anybody,5.0,on local retail spends,14
142,https://ringgitplus.com/img/card-400/52de431e78d623a405002db3/hong-leong-visa-infinite.jpg,hong_leong_bank,hong_leong_visa_infinite,visa,12500.0,Anybody,5.0,on overseas retail spends,9
143,https://ringgitplus.com/img/card-400/5c25a8533789a7aa1e09058a/hong-leong-airasia-platinum-visa.jpg,hong_leong_bank,hong_leong_airasia_platinum_visa,visa,2000.0,Anybody,1.0,for airasia transactions,1
144,https://ringgitplus.com/img/card-400/5c25a8533789a7aa1e09058a/hong-leong-airasia-platinum-visa.jpg,hong_leong_bank,hong_leong_airasia_platinum_visa,visa,2000.0,Anybody,1.0,for overseas transactions,2
145,https://ringgitplus.com/img/card-400/5c25a8533789a7aa1e09058a/hong-leong-airasia-platinum-visa.jpg,hong_leong_bank,hong_leong_airasia_platinum_visa,visa,2000.0,Anybody,1.0,for local transactions,3
146,https://ringgitplus.com/img/card-400/5c25e03bf38a34286a6bb3b1/hong-leong-airasia-gold-visa.jpg,hong_leong_bank,hong_leong_airasia_gold_visa,visa,2000.0,Anybody,1.0,for airasia transactions,1
147,https://ringgitplus.com/img/card-400/5c25e03bf38a34286a6bb3b1/hong-leong-airasia-gold-visa.jpg,hong_leong_bank,hong_leong_airasia_gold_visa,visa,2000.0,Anybody,1.0,for overseas transactions,2
148,https://ringgitplus.com/img/card-400/5c25e03bf38a34286a6bb3b1/hong-leong-airasia-gold-visa.jpg,hong_leong_bank,hong_leong_airasia_gold_visa,visa,2000.0,Anybody,1.0,for local transactions,5
149,https://ringgitplus.com/img/card-400/5d8c43e829b550c865d2b001/hong-leong-emirates-hlb-platinum-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_platinum_card,,5000.0,Anybody,1.5,for emirates transaction,4
